,SIG_CD,SIG_ENG_NM_x,forest,dem,x,y,slope,farm_cnt,NUMPOINTS,1,2,3,4,5,6,7,8,9,10,11,12,2019,2020,2021,2022,2023
62,11620,관악구,1744,134.879873,126.9453372,37.46737569,10.79054016,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
63,11650,서초구,1609,72.43160781,127.0312203,37.47329547,7.030771949,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
64,11650,서초구,1609,72.43160781,127.0312203,37.47329547,7.030771949,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
65,11650,서초구,1609,72.43160781,127.0312203,37.47329547,7.030771949,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
66,11680,강남구,714,36.65151653,127.0629852,37.49664389,3.54255053,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
67,11680,강남구,714,36.65151653,127.0629852,37.49664389,3.54255053,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
68,11680,강남구,714,36.65151653,127.0629852,37.49664389,3.54255053,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
69,11710,송파구,147,21.45827373,127.115295,37.50561924,0.740208682,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
70,11710,송파구,147,21.45827373,127.115295,37.50561924,0.740208682,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
71,11710,송파구,147,21.45827373,127.115295,37.50561924,0.740208682,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
72,11740,강동구,296,26.32911175,127.1470118,37.55045024,1.764618978,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
73,11740,강동구,296,26.32911175,127.1470118,37.55045024,1.764618978,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
74,11740,강동구,296,26.32911175,127.1470118,37.55045024,1.764618978,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
75,26110,중구,150,34.067483,129.0315402,35.10547776,7.50925426,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
76,26110,중구,150,34.067483,129.0315402,35.10547776,7.50925426,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
77,26110,중구,150,34.067483,129.0315402,35.10547776,7.50925426,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
78,26140,서구,678,134.6384766,129.0149133,35.10295786,16.17057253,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
79,26140,서구,678,134.6384766,129.0149133,35.10295786,16.17057253,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
80,26140,서구,678,134.6384766,129.0149133,35.10295786,16.17057253,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
81,26170,동구,276,79.89064034,129.0445856,35.12918632,9.273357626,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
82,26170,동구,276,79.89064034,129.0445856,35.12918632,9.273357626,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
83,26170,동구,276,79.89064034,129.0445856,35.12918632,9.273357626,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
84,26200,영도구,403,79.02547961,129.0648233,35.07864998,13.77256002,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
85,26200,영도구,403,79.02547961,129.0648233,35.07864998,13.77256002,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
86,26200,영도구,403,79.02547961,129.0648233,35.07864998,13.77256002,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
87,26230,부산진구,1040,132.0633266,129.0430603,35.16524411,11.37557021,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
88,26230,부산진구,1040,132.0633266,129.0430603,35.16524411,11.37557021,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
