SIG_CD,distance,time,forest,season,NUMPOINTS,x,y
28260,0.7086219133494835,201910,678.0,1,0,126.6558211,37.55786766
28260,0.7086219133494835,201911,678.0,1,0,126.6558211,37.55786766
28260,0.7086219133494835,201912,678.0,1,0,126.6558211,37.55786766
28710,0.8032049067953662,201910,17712.0,1,0,126.4020854,37.71244078
28710,0.8032049067953662,201911,17712.0,1,0,126.4020854,37.71244078
28710,0.8032049067953662,201912,17712.0,1,0,126.4020854,37.71244078
28720,1.5695432242264933,201910,11407.0,1,0,125.6360667,37.54399185
28720,1.5695432242264933,201911,11407.0,1,0,125.6360667,37.54399185
28720,1.5695432242264933,201912,11407.0,1,0,125.6360667,37.54399185
29110,2.996403525022844,201910,276.0,1,0,126.9494643,35.11738023
29110,2.996403525022844,201911,276.0,1,0,126.9494643,35.11738023
29110,2.996403525022844,201912,276.0,1,0,126.9494643,35.11738023
29140,2.984734903304862,201910,678.0,1,0,126.8507191,35.13569311
29140,2.984734903304862,201911,678.0,1,0,126.8507191,35.13569311
29140,2.984734903304862,201912,678.0,1,0,126.8507191,35.13569311
29155,3.025738045875857,201910,910.0,1,0,126.8567181,35.09405825
29155,3.025738045875857,201911,910.0,1,0,126.8567181,35.09405825
29155,3.025738045875857,201912,910.0,1,0,126.8567181,35.09405825
29170,2.9219699205351843,201910,2285.0,1,0,126.9254865,35.19324611
29170,2.9219699205351843,201911,2285.0,1,0,126.9254865,35.19324611
29170,2.9219699205351843,201912,2285.0,1,0,126.9254865,35.19324611
29200,2.965349975232173,201910,7499.0,1,0,126.7528952,35.16503502
29200,2.965349975232173,201911,7499.0,1,0,126.7528952,35.16503502
29200,2.965349975232173,201912,7499.0,1,0,126.7528952,35.16503502
30110,1.8250298617288494,201910,276.0,1,0,127.4750374,36.32392023
30110,1.8250298617288494,201911,276.0,1,0,127.4750374,36.32392023
30110,1.8250298617288494,201912,276.0,1,0,127.4750374,36.32392023
30140,1.8554000201415606,201910,150.0,1,0,127.4110573,36.28086015
30140,1.8554000201415606,201911,150.0,1,0,127.4110573,36.28086015
30140,1.8554000201415606,201912,150.0,1,0,127.4110573,36.28086015
30170,1.8461037434172975,201910,678.0,1,0,127.3451041,36.28023963
30170,1.8461037434172975,201911,678.0,1,0,127.3451041,36.28023963
30170,1.8461037434172975,201912,678.0,1,0,127.3451041,36.28023963
30200,1.7488349704004114,201910,9070.0,1,0,127.3332564,36.37679049
30200,1.7488349704004114,201911,9070.0,1,0,127.3332564,36.37679049
30200,1.7488349704004114,201912,9070.0,1,0,127.3332564,36.37679049
30230,1.731560129389041,201910,2528.0,1,0,127.4401518,36.41217868
30230,1.731560129389041,201911,2528.0,1,0,127.4401518,36.41217868
30230,1.731560129389041,201912,2528.0,1,0,127.4401518,36.41217868
31110,3.3649081947825716,201910,150.0,1,0,129.3082429,35.57104934
31110,3.3649081947825716,201911,150.0,1,0,129.3082429,35.57104934
31110,3.3649081947825716,201912,150.0,1,0,129.3082429,35.57104934
31140,3.419570484686823,201910,910.0,1,0,129.3282023,35.51604996
31140,3.419570484686823,201911,910.0,1,0,129.3282023,35.51604996
31140,3.419570484686823,201912,910.0,1,0,129.3282023,35.51604996
31170,3.4770447608370776,201910,276.0,1,0,129.4260655,35.52557365
31170,3.4770447608370776,201911,276.0,1,0,129.4260655,35.52557365
31170,3.4770447608370776,201912,276.0,1,0,129.4260655,35.52557365
31200,3.3833809006403053,201910,2285.0,1,0,129.3798105,35.61005392
31200,3.3833809006403053,201911,2285.0,1,0,129.3798105,35.61005392
31200,3.3833809006403053,201912,2285.0,1,0,129.3798105,35.61005392
31710,3.306380986405548,201910,51856.0,1,0,129.1876939,35.54607929
31710,3.306380986405548,201911,51856.0,1,0,129.1876939,35.54607929
31710,3.306380986405548,201912,51856.0,1,0,129.1876939,35.54607929
36110,1.5574571107219775,201910,9231.063021,1,0,127.2587801,36.56065771
36110,1.5574571107219775,201911,9231.063021,1,0,127.2587801,36.56065771
36110,1.5574571107219775,201912,9231.063021,1,0,127.2587801,36.56065771
41111,0.8018679423259536,201910,864.3333333,1,0,127.0034517,37.31396569
41111,0.8018679423259536,201911,864.3333333,1,0,127.0034517,37.31396569
41111,0.8018679423259536,201912,864.3333333,1,0,127.0034517,37.31396569
41113,0.8579430341181987,201910,864.3333333,1,0,126.9797583,37.26052476
41113,0.8579430341181987,201911,864.3333333,1,0,126.9797583,37.26052476
41113,0.8579430341181987,201912,864.3333333,1,0,126.9797583,37.26052476
41115,0.8367393636912661,201910,864.3333333,1,0,127.0162387,37.27746363
41115,0.8367393636912661,201911,864.3333333,1,0,127.0162387,37.27746363
41115,0.8367393636912661,201912,864.3333333,1,0,127.0162387,37.27746363
41117,0.8361014801015108,201910,864.3333333,1,0,127.0567284,37.27501901
41117,0.8361014801015108,201911,864.3333333,1,0,127.0567284,37.27501901
41117,0.8361014801015108,201912,864.3333333,1,0,127.0567284,37.27501901
41131,0.6748464909286969,201910,2293.666667,1,0,127.1041452,37.43516624
41131,0.6748464909286969,201911,2293.666667,1,0,127.1041452,37.43516624
41131,0.6748464909286969,201912,2293.666667,1,0,127.1041452,37.43516624
41133,0.6795785970630946,201910,2293.666667,1,0,127.1639099,37.43343323
41133,0.6795785970630946,201911,2293.666667,1,0,127.1639099,37.43343323
41133,0.6795785970630946,201912,2293.666667,1,0,127.1639099,37.43343323
41135,0.7307235918597813,201910,2293.666667,1,0,127.106064,37.37930157
41135,0.7307235918597813,201911,2293.666667,1,0,127.106064,37.37930157
41135,0.7307235918597813,201912,2293.666667,1,0,127.106064,37.37930157
41150,0.37513922647446896,201910,4690.0,1,0,127.0684231,37.73619211
41150,0.37513922647446896,201911,4690.0,1,0,127.0684231,37.73619211
41150,0.37513922647446896,201912,4690.0,1,0,127.0684231,37.73619211
41171,0.7306316850328355,201910,2993.0,1,0,126.9113784,37.4041356
41171,0.7306316850328355,201911,2993.0,1,0,126.9113784,37.4041356
41171,0.7306316850328355,201912,2993.0,1,0,126.9113784,37.4041356
41173,0.7241707151204348,201910,2993.0,1,0,126.9555027,37.40039183
41173,0.7241707151204348,201911,2993.0,1,0,126.9555027,37.40039183
41173,0.7241707151204348,201912,2993.0,1,0,126.9555027,37.40039183
41190,0.6810461618372113,201910,955.0,1,0,126.7887109,37.50425833
41190,0.6810461618372113,201911,955.0,1,0,126.7887109,37.50425833
41190,0.6810461618372113,201912,955.0,1,0,126.7887109,37.50425833
41210,0.7052439383912259,201910,1472.0,1,0,126.864694,37.44516912
41210,0.7052439383912259,201911,1472.0,1,0,126.864694,37.44516912
41210,0.7052439383912259,201912,1472.0,1,0,126.864694,37.44516912
41220,1.1038962461570356,201910,7762.0,1,0,126.9877007,37.01183071
41220,1.1038962461570356,201911,7762.0,1,0,126.9877007,37.01183071
41220,1.1038962461570356,201912,7762.0,1,0,126.9877007,37.01183071
41250,0.19471914432279666,201910,6289.0,1,0,127.0779127,37.91653761
41250,0.19471914432279666,201911,6289.0,1,0,127.0779127,37.91653761
41250,0.19471914432279666,201912,6289.0,1,0,127.0779127,37.91653761
41271,0.8264113274875102,201910,1551.25,1,0,126.870815,37.31600383
41271,0.8264113274875102,201911,1551.25,1,0,126.870815,37.31600383
41271,0.8264113274875102,201912,1551.25,1,0,126.870815,37.31600383
41273,0.9222314796058203,201910,1551.25,1,0,126.6940412,37.28192491
41273,0.9222314796058203,201911,1551.25,1,0,126.6940412,37.28192491
41273,0.9222314796058203,201912,1551.25,1,0,126.6940412,37.28192491
41281,0.5052648356660671,201910,4618.0,1,0,126.8786318,37.65580987
41281,0.5052648356660671,201911,4618.0,1,0,126.8786318,37.65580987
41281,0.5052648356660671,201912,4618.0,1,0,126.8786318,37.65580987
41285,0.5258205222693649,201910,4618.0,1,0,126.7975579,37.67986514
41285,0.5258205222693649,201911,4618.0,1,0,126.7975579,37.67986514
41285,0.5258205222693649,201912,4618.0,1,0,126.7975579,37.67986514
41287,0.5684365082866324,201910,4618.0,1,0,126.7279833,37.68020512
41287,0.5684365082866324,201911,4618.0,1,0,126.7279833,37.68020512
41287,0.5684365082866324,201912,4618.0,1,0,126.7279833,37.68020512
41290,0.6831225889805075,201910,2327.0,1,0,127.0026795,37.43384529
41290,0.6831225889805075,201911,2327.0,1,0,127.0026795,37.43384529
41290,0.6831225889805075,201912,2327.0,1,0,127.0026795,37.43384529
41310,0.511732345012343,201910,1284.0,1,0,127.1312299,37.59922149
41310,0.511732345012343,201911,1284.0,1,0,127.1312299,37.59922149
41310,0.511732345012343,201912,1284.0,1,0,127.1312299,37.59922149
41360,0.46996589124211413,201910,30822.0,1,0,127.2436606,37.66252981
41360,0.46996589124211413,201911,30822.0,1,0,127.2436606,37.66252981
41360,0.46996589124211413,201912,30822.0,1,0,127.2436606,37.66252981
41370,0.9479595638406448,201910,1074.0,1,0,127.0513297,37.16329068
41370,0.9479595638406448,201911,1074.0,1,0,127.0513297,37.16329068
41370,0.9479595638406448,201912,1074.0,1,0,127.0513297,37.16329068
41390,0.7897538018185128,201910,4156.0,1,0,126.7839643,37.38623726
41390,0.7897538018185128,201911,4156.0,1,0,126.7839643,37.38623726
41390,0.7897538018185128,201912,4156.0,1,0,126.7839643,37.38623726
41410,0.7871096378991441,201910,1663.0,1,0,126.9211347,37.34348269
41410,0.7871096378991441,201911,1663.0,1,0,126.9211347,37.34348269
41410,0.7871096378991441,201912,1663.0,1,0,126.9211347,37.34348269
41430,0.7557159661887203,201910,3392.0,1,0,126.9896255,37.36238774
41430,0.7557159661887203,201911,3392.0,1,0,126.9896255,37.36238774
41430,0.7557159661887203,201912,3392.0,1,0,126.9896255,37.36238774
41450,0.596666804814476,201910,4810.0,1,0,127.2059438,37.52281418
41450,0.596666804814476,201911,4810.0,1,0,127.2059438,37.52281418
41450,0.596666804814476,201912,4810.0,1,0,127.2059438,37.52281418
41461,0.9194757074731333,201910,14954.0,1,0,127.2529331,37.2033319
41461,0.9194757074731333,201911,14954.0,1,0,127.2529331,37.2033319
41461,0.9194757074731333,201912,14954.0,1,0,127.2529331,37.2033319
41463,0.8428386394357672,201910,14954.0,1,0,127.1213408,37.26743158
41463,0.8428386394357672,201911,14954.0,1,0,127.1213408,37.26743158
41463,0.8428386394357672,201912,14954.0,1,0,127.1213408,37.26743158
41465,0.7770735061014592,201910,14954.0,1,0,127.0715511,37.33344743
41465,0.7770735061014592,201911,14954.0,1,0,127.0715511,37.33344743
41465,0.7770735061014592,201912,14954.0,1,0,127.0715511,37.33344743
41480,0.3848888581709797,201910,26947.0,1,5,126.8106332,37.85621606
41480,0.3848888581709797,201911,26947.0,1,6,126.8106332,37.85621606
41480,0.3848888581709797,201912,26947.0,1,8,126.8106332,37.85621606
